Year,Month,Stock_lag_MV,Stock_Ew_Ret,Stock_Vw_Ret
1946,11,56016.74919,-0.002968482,0.000116839
1946,12,55662.22494,0.046392746,0.049906571
1947,1,58446.84594,0.02972948,0.012773156
1947,2,59255.154,-0.006999917,-0.010505576
1947,3,58294.7325,-0.030494434,-0.016424874
1947,4,57258.08931,-0.082042088,-0.047690818
1947,5,54485.14306,-0.037682165,-0.009467419
1947,6,53646.88894,0.056545603,0.053169741
1947,7,56400.11813,0.061856387,0.041622263
1947,8,58744.49169,-0.017130754,-0.017143772
1947,9,57644.373,0.00565989,-0.004708727
1947,10,57195.72544,0.033807593,0.02538741
1947,11,58533.88525,-0.029357432,-0.019067022
1947,12,57022.08669,0.023116673,0.030771073
1948,1,58780.48381,-0.016455018,-0.038544865
1948,2,56612.63844,-0.05907123,-0.042982013
1948,3,53801.98625,0.094145266,0.081592407
1948,4,57921.43481,0.039431126,0.037248091
1948,5,60096.15481,0.087645149,0.073893026
1948,6,64216.38463,-0.012327041,-3.90E-05
1948,7,64042.35981,-0.052976903,-0.049966274
1948,8,60658.58819,-0.002277184,0.003324985
1948,9,60494.69306,-0.042433723,-0.029324339
1948,10,58445.60588,0.052992662,0.060012156
1948,11,61786.08425,-0.106178227,-0.092602852
1948,12,55456.18281,0.013015256,0.033017541
1949,1,57108.092,0.018133764,0.003262173
1949,2,57286.90988,-0.040951231,-0.028367798
1949,3,55403.73263,0.059070564,0.041331843
1949,4,57399.738,-0.031422,-0.017726677
1949,5,56330.13363,-0.043076914,-0.028519228
1949,6,54424.73019,-0.00803241,0.001909574
1949,7,54166.15306,0.062114258,0.056270441
1949,8,57260.71119,0.025373409,0.026960715
1949,9,58400.59569,0.043299447,0.031778247
1949,10,60300.32638,0.039223674,0.032315604
1949,11,62114.68669,0.009836852,0.019110046
1949,12,62528.55663,0.070640956,0.052133974
1950,1,66042.31206,0.039702321,0.017893117
1950,2,67231.58675,0.016494493,0.015643718
1950,3,67878.4065,-0.001723043,0.013592396
1950,4,68780.08769,0.047309469,0.040273179
1950,5,71446.43256,0.033284571,0.044093445
1950,6,74213.02531,-0.075273281,-0.058290575
1950,7,69538.31188,0.050335746,0.014609538
1950,8,70559.75075,0.051478819,0.04950542
1950,9,73399.04794,0.054362555,0.049058608
1950,10,76817.23806,-0.005145414,-0.00066187
1950,11,76713.82825,0.031958998,0.028619696
1950,12,77632.85031,0.084079836,0.056506292
1951,1,82757.17881,0.075416007,0.058240337
1951,2,87583.0555,0.011716711,0.015145879
1951,3,88508.80031,-0.033609617,-0.020445947
1951,4,86701.83075,0.040154651,0.049905697
1951,5,91010.89756,-0.0248472,-0.022189922
1951,6,88431.76213,-0.045062738,-0.025052939
1951,7,86285.94956,0.062930479,0.070789712
1951,8,92293.27475,0.046820743,0.044044389
1951,9,95583.0295,0.022811676,0.008214318
1951,10,96015.95969,-0.024081207,-0.023734827
1951,11,93575.39188,0.007333537,0.006737654
1951,12,93511.34125,0.015077319,0.034523195
1952,1,98118.45219,0.017095183,0.016036206
1952,2,99667.71995,-0.020593372,-0.025097163
1952,3,96483.05803,0.028327197,0.045454705
1952,4,100749.2283,-0.044867381,-0.048515993
1952,5,95754.72813,0.024597988,0.033262474
1952,6,98321.991,0.030643911,0.039777804
1952,7,101947.4269,0.010276936,0.010582237
1952,8,102946.4611,0.000479433,-0.00617046
1952,9,101537.6689,-0.014879713,-0.018712701
1952,10,99489.54,-0.011624107,-0.005234453
1952,11,98712.92888,0.055704307,0.060442865
1952,12,103778.5921,0.022666481,0.030917707
1953,1,108491.6393,0.024664076,-0.001775053
1953,2,108240.8624,0.01237788,-0.001320094
1953,3,107380.0158,-0.010250371,-0.012445475
1953,4,105594.3655,-0.02340015,-0.026646702
1953,5,102833.2683,0.006042717,0.006924449
1953,6,103004.8023,-0.031747816,-0.017065894
1953,7,100893.6606,0.017276168,0.025438626
1953,8,103312.428,-0.051525318,-0.043481493
1953,9,98069.26331,-0.010761152,0.003671141
1953,10,98031.60006,0.03750732,0.047198565
1953,11,102410.6352,0.021389439,0.029021717
1953,12,104570.7886,-0.014983089,0.001543673
1954,1,106091.5826,0.071255743,0.052412423
1954,2,111557.9445,0.013571296,0.017398086
1954,3,112701.8686,0.028429075,0.037321934
1954,4,116449.9264,0.016325309,0.043632298
1954,5,121567.3771,0.042854849,0.031439177
1954,6,124572.5624,0.012518963,0.011326904
1954,7,125588.052,0.071732976,0.050438665
1954,8,131807.3288,-0.009195649,-0.022794943
1954,9,127822.8926,0.043922754,0.064789304
1954,10,135768.6266,-0.007344105,-0.01601585
1954,11,133357.9722,0.091289761,0.094417008
1954,12,144628.0124,0.08758998,0.055628883
1955,1,156481.5803,0.014220245,0.006852758
1955,2,157341.4233,0.042534577,0.031019928
1955,3,161717.7757,0.000897757,-0.000564481
1955,4,161052.5984,0.023104469,0.032118398
1955,5,166156.9924,0.006839505,0.01072988
1955,6,166818.7538,0.034223823,0.066507715
1955,7,177740.1579,0.007926556,0.019908351
1955,8,181146.9928,0.004558138,0.003704856
1955,9,181038.5792,-0.00804475,-0.002035184
1955,10,180075.6049,-0.017160559,-0.024868819
1955,11,175124.542,0.055366942,0.072041784
1955,12,186524.7275,0.021940588,0.01667174
1956,1,193190.0484,-0.020484975,-0.028128748
1956,2,187547.9608,0.033065059,0.039623555
1956,3,194140.5328,0.051184366,0.067880279
1956,4,207597.0479,0.003937368,0.004657819
1956,5,208374.2383,-0.039856207,-0.049732183
1956,6,196965.5161,0.021437064,0.03673525
1956,7,203463.5065,0.03950548,0.050531564
1956,8,213571.234,-0.018019956,-0.03012235
1956,9,205909.2719,-0.035637875,-0.049525475
1956,10,195910.6924,0.007154649,0.007700914
1956,11,196866.5323,0.005648294,0.005662515
1956,12,196529.8214,0.02273514,0.033988125
1957,1,206752.7993,0.002774455,-0.033061824
1957,2,199869.2029,-0.022745598,-0.018253297
1957,3,195564.1149,0.022242958,0.023576015
1957,4,199775.3344,0.025843979,0.045079804
1957,5,208950.8879,0.021292726,0.037048476
1957,6,216168.5553,-0.007311795,-0.005031325
1957,7,214599.5378,0.005635918,0.009566661
1957,8,216859.5303,-0.049258045,-0.048598709
1957,9,205405.8586,-0.05253143,-0.057214679
1957,10,193059.9659,-0.065158326,-0.040262694
1957,11,185191.0171,0.020852757,0.025751368
1957,12,189207.9115,-0.04817032,-0.036560787
1958,1,184408.7994,0.10637153,0.049282749
1958,2,192832.8481,-0.011272442,-0.013982616
1958,3,188853.085,0.035461022,0.033675157
1958,4,195220.2642,0.030362323,0.031680183
1958,5,201326.1133,0.039328847,0.024205548
1958,6,204989.8514,0.032070421,0.02956118
1958,7,210324.8227,0.054078238,0.0445204
1958,8,219068.7198,0.030213346,0.019481161
1958,9,222190.2775,0.051997642,0.04841507
1958,10,232195.0978,0.032444013,0.027104644
1958,11,238082.8894,0.042590026,0.031152215
1958,12,244707.8291,0.038871435,0.053672448
1959,1,263460.0499,0.041971543,0.009182743
1959,2,266351.4561,0.028679197,0.011353086
1959,3,268190.3008,0.011834037,0.004973834
1959,4,268718.4104,0.025934101,0.038557127
1959,5,279109.147,0.0073129,0.019476592
1959,6,283802.0374,0.004537603,-1.66E-05
1959,7,283287.0088,0.030375409,0.034287816
1959,8,292751.9663,-0.014853863,-0.011998189
1959,9,288068.8238,-0.045139431,-0.044955479
1959,10,274576.3715,0.022010398,0.015823375
1959,11,278801.1556,0.015336356,0.018541098
1959,12,282696.2778,0.02127197,0.02787048
1960,1,294435.2609,-0.039276972,-0.066488241
1960,2,274640.3815,0.008798174,0.014549496
1960,3,277964.5861,-0.024560507,-0.012876375
1960,4,273844.7716,-0.019145602,-0.015111548
1960,5,269601.0668,0.025772735,0.033915248
1960,6,277758.2463,0.021799196,0.023168531
1960,7,283744.6861,-0.018909407,-0.022316488
1960,8,277490.5661,0.037296422,0.031715661
1960,9,284922.7579,-0.059944995,-0.058326877
1960,10,268257.5578,-0.023962377,-0.004907921
1960,11,266623.5194,0.046695551,0.048257371
1960,12,277917.4534,0.038318202,0.048662759
1961,1,294886.6296,0.081834792,0.06388529
1961,2,313602.5301,0.061045781,0.037097962
1961,3,323988.2047,0.050237744,0.030889055
1961,4,334793.4548,0.009046641,0.004643806
1961,5,336481.3049,0.042232327,0.025817943
1961,6,343951.6508,-0.042209578,-0.028709746
1961,7,333417.6696,0.011251872,0.030141926
1961,8,344595.7078,0.021285843,0.027156687
1961,9,352566.3477,-0.029248892,-0.019782013
1961,10,345361.6086,0.020725722,0.027618851
1961,11,355030.1861,0.046311984,0.046035629
1961,12,369687.9894,-0.004093707,0.00012681
1962,1,372023.4286,-0.008014918,-0.03633273
1962,2,358877.3964,0.014961401,0.020089737
1962,3,365888.7288,-0.006069944,-0.004802827
1962,4,363318.6881,-0.068607394,-0.063583372
1962,5,340150.2251,-0.098010448,-0.08405284
1962,6,310051.5092,-0.085809924,-0.082774671
1962,7,282804.113,0.036759386,0.065359577
1962,8,323590.0475,0.03726184,0.023609227
1962,9,329565.1393,-0.064794623,-0.050078262
1962,10,312685.6151,-0.040481184,0.002024068
1962,11,312555.8367,0.120314362,0.110634782
1962,12,344944.7822,-0.027041162,0.012449504
1963,1,350101.0601,0.089213759,0.051840896
1963,2,367935.2329,-0.017284688,-0.021584199
1963,3,358435.703,0.011097019,0.03305751
1963,4,369949.7354,0.025559154,0.047622437
1963,5,387757.2239,0.032079697,0.019982536
1963,6,393625.7698,-0.010281078,-0.017737435
1963,7,386356.2811,-0.006481211,-0.001228893
1963,8,385325.0417,0.041963379,0.053176948
1963,9,404385.5742,-0.01063377,-0.012813639
1963,10,398717.9922,0.012444787,0.028297528
1963,11,409300.2038,-0.016437952,-0.005817618
1963,12,402830.8948,-0.005437702,0.021084895
1964,1,412882.5675,0.032585297,0.025336747
1964,2,425452.7629,0.025484894,0.018055629
1964,3,432493.0519,0.026267728,0.017196533
1964,4,439573.106,0.000308575,0.003957153
1964,5,442997.4546,0.006073535,0.016732087
1964,6,448675.931,0.010679638,0.015672019
1964,7,454952.5388,0.029662624,0.020394114
1964,8,464572.1563,-0.006430861,-0.011581651
1964,9,456989.6975,0.037224564,0.029718941
1964,10,470427.5793,0.019357256,0.008903234
1964,11,476777.8319,-0.000226912,0.002850873
1964,12,470300.5667,-0.013347892,0.003441051
1965,1,475827.1759,0.071141721,0.038227916
1965,2,493861.1903,0.033584243,0.007435282
1965,3,495453.2926,0.015326888,-0.009804751
1965,4,491139.7454,0.042064847,0.034168009
1965,5,507877.2587,-0.006812503,-0.004634778
1965,6,504347.3851,-0.083362914,-0.051480153
1965,7,477505.8618,0.029052268,0.017455104
1965,8,485239.6792,0.041391788,0.030585037
1965,9,497806.5776,0.026200971,0.031707172
1965,10,512883.5372,0.058359482,0.029104134
1965,11,527752.5765,0.046954792,0.003313071
1965,12,525763.177,0.042998521,0.013418594
1966,1,537054.2041,0.06274193,0.01092993
1966,2,542783.7901,0.029922826,-0.008576727
1966,3,535719.3047,-0.010128354,-0.021291963
1966,4,523355.5368,0.046815589,0.02480283
1966,5,535494.7816,-0.087090277,-0.052501603
1966,6,506027.1019,-0.004871805,-0.010625206
1966,7,500219.7979,-0.015633227,-0.012700892
1966,8,493501.0378,-0.100301036,-0.074956892
1966,9,454285.8848,-0.018500503,-0.006557223
1966,10,450123.467,-0.014912817,0.043124093
1966,11,469007.8365,0.041682078,0.017965624
1966,12,474640.7694,0.016322528,0.005366508
1967,1,481231.3533,0.173860016,0.085780663
1967,2,522125.8999,0.043044178,0.011362098
1967,3,526606.3857,0.059010426,0.043835174
1967,4,548464.1948,0.042083158,0.042144529
1967,5,571502.1252,-0.008227601,-0.039684361
1967,6,544614.8934,0.082699391,0.02687739
1967,7,558598.2688,0.08349512,0.048900237
1967,8,584113.3698,0.006159676,-0.005796885
1967,9,578030.0739,0.062867559,0.034209943
1967,10,596473.1589,-0.020777789,-0.026827204
1967,11,578745.5456,0.000407487,0.007168309
1967,12,580044.2673,0.082009886,0.033843286
1968,1,611032.3332,0.0225963,-0.036238694
1968,2,586707.87,-0.056629742,-0.033532003
